transformed_feature,raw_feature,is_missing_indicator,gain,gain_share,split_count,mean_abs_shap_log_odds,shap_share
numeric__PREV_CANCELED_COUNT,PREV_CANCELED_COUNT,False,227.39017057418823,0.00036714209446802557,26,0.0006641857848309351,0.000213014381224573
numeric__FLOORSMAX_MODE,FLOORSMAX_MODE,False,112.55298900604248,0.00018172702900028426,10,0.0006188163153568025,0.00019846370927819956
numeric__INST_CONTRACT_COUNT,INST_CONTRACT_COUNT,False,210.74313831329346,0.00034026394808417534,16,0.0005780467049443361,0.00018538828138871372
numeric__FLAG_DOCUMENT_11,FLAG_DOCUMENT_11,False,42.78769016265869,6.908461409787359e-05,9,0.0005752345863381226,0.0001844863926122396
numeric__missingindicator_BUREAU_DEBT_MEAN,BUREAU_DEBT_MEAN,True,58.41429901123047,9.431519415157654e-05,1,0.0005657550133750428,0.00018144615083784263
numeric__ENTRANCES_MODE,ENTRANCES_MODE,False,189.0098180770874,0.000305173527547894,19,0.0005557926612769296,0.00017825107452608285
numeric__FLOORSMIN_MODE,FLOORSMIN_MODE,False,120.05514144897461,0.00019383993587731164,12,0.000553420296591467,0.00017749022145296042
numeric__missingindicator_AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_DAY,True,115.75412034988403,0.00018689554645764635,9,0.0005504980934011085,0.00017655302689290953
numeric__ENTRANCES_MEDI,ENTRANCES_MEDI,False,206.9012303352356,0.0003340608385203106,17,0.0005383104394648263,0.00017264426277734324
numeric__missingindicator_EXT_SOURCE_STD,EXT_SOURCE_STD,True,52.127169132232666,8.416405161916587e-05,3,0.0004969954903095701,0.00015939393654238514
numeric__POS_FUTURE_INSTALLMENTS_MIN,POS_FUTURE_INSTALLMENTS_MIN,False,174.34108138084412,0.00028148951913073303,16,0.00048041369886472364,0.00015407590636936963
numeric__CC_LIMIT_MAX,CC_LIMIT_MAX,False,199.08480024337769,0.0003214405018191192,17,0.00046938311849644814,0.00015053823316804656
numeric__HAS_INSTALLMENT_HISTORY,HAS_INSTALLMENT_HISTORY,False,53.6811900138855,8.667315955420268e-05,4,0.0004409730277182063,0.00014142668931107954
numeric__BUREAU_UNIQUE_CREDIT_COUNT,BUREAU_UNIQUE_CREDIT_COUNT,False,139.39763927459717,0.00022507015636577987,11,0.00042939758618548067,0.00013771427093084814
numeric__missingindicator_ELEVATORS_AVG,ELEVATORS_AVG,True,57.62288951873779,9.30373916066295e-05,4,0.0004252633998804903,0.00013638837513822925
categorical__FONDKAPREMONT_MODE,FONDKAPREMONT_MODE,False,69.7950701713562,0.00011269048341689081,7,0.0004061251278562294,0.00013025044315283875
categorical__FLAG_OWN_REALTY,FLAG_OWN_REALTY,False,105.38909959793091,0.0001701602785326194,11,0.0004039893927273141,0.00012956548074121279
numeric__BB_DELINQUENT_MONTHS,BB_DELINQUENT_MONTHS,False,104.36525011062622,0.00016850718049306971,10,0.0003974355848454135,0.000127463575878881
numeric__missingindicator_EMPLOYMENT_YEARS,EMPLOYMENT_YEARS,True,20.437700271606445,3.2998524364003774e-05,1,0.00038122788404556184,0.0001222655222080512
numeric__FLAG_DOCUMENT_8,FLAG_DOCUMENT_8,False,54.461440086364746,8.793294420142603e-05,5,0.00037661616805012967,0.00012078647545398599
numeric__BB_RECENT_12M_DELINQUENT_MONTHS,BB_RECENT_12M_DELINQUENT_MONTHS,False,134.64055061340332,0.00021738940442197065,11,0.0003374045154939373,0.00010821070810573359
numeric__PREV_UNIQUE_APPLICATION_COUNT,PREV_UNIQUE_APPLICATION_COUNT,False,103.73899126052856,0.0001674960286683299,10,0.00031023263699308677,9.94962775687397e-05
numeric__PREV_UNUSED_OFFER_COUNT,PREV_UNUSED_OFFER_COUNT,False,38.75409984588623,6.257201597902645e-05,3,0.0003085887818849732,9.89690684855661e-05
numeric__missingindicator_COMMONAREA_AVG,COMMONAREA_AVG,True,74.19517946243286,0.00011979485972715459,5,0.00030518141614584187,9.787627499148127e-05
numeric__AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_WEEK,False,50.83042097091675,8.207033387076497e-05,5,0.0003032383027836713,9.725308928057761e-05
numeric__AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_DAY,False,28.830219745635986,4.654900972481937e-05,7,0.0002874508777620829,9.21898243795394e-05
numeric__CC_DPD_MAX,CC_DPD_MAX,False,137.1374101638794,0.00022142081106826277,15,0.00027144006996746977,8.705491725992494e-05
numeric__BB_SEVERE_DELINQUENT_MONTH_RATE,BB_SEVERE_DELINQUENT_MONTH_RATE,False,74.16626167297363,0.00011974816932816928,5,0.0002705968398931085,8.67844806793442e-05
numeric__missingindicator_LANDAREA_AVG,LANDAREA_AVG,True,62.68685007095337,0.00010121361610546863,8,0.00027045384678005757,8.673862063507409e-05
numeric__missingindicator_YEARS_BUILD_AVG,YEARS_BUILD_AVG,True,43.666099548339844,7.050288587648652e-05,3,0.0002597021722374824,8.329039673127944e-05
numeric__BUREAU_OVERDUE_TO_CREDIT,BUREAU_OVERDUE_TO_CREDIT,False,251.55090045928955,0.00040615178847323873,11,0.00023927351192270705,7.673861779294138e-05
numeric__missingindicator_NONLIVINGAREA_AVG,NONLIVINGAREA_AVG,True,39.2044095993042,6.329908199780722e-05,3,0.00023679124187240563,7.5942516414572e-05
numeric__AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_MON,False,118.09592056274414,0.0001906765957123441,14,0.00023455067193665192,7.522393190199253e-05
numeric__missingindicator_LIVINGAREA_AVG,LIVINGAREA_AVG,True,28.25529956817627,4.562074885245407e-05,2,0.0002341935669070333,7.510940294239464e-05
numeric__missingindicator_YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_AVG,True,17.599960327148438,2.8416735344130656e-05,2,0.000227623539832975,7.300229634094056e-05
numeric__missingindicator_LIVINGAPARTMENTS_AVG,LIVINGAPARTMENTS_AVG,True,27.213199615478516,4.393818377801671e-05,2,0.0002127311973107452,6.82260978738736e-05
numeric__ELEVATORS_MODE,ELEVATORS_MODE,False,36.65950012207031,5.919009437822874e-05,3,0.00020949454297602627,6.718805409742711e-05
numeric__BUREAU_PROLONG_MAX,BUREAU_PROLONG_MAX,False,44.39450001716614,7.167895462678074e-05,4,0.00020302007528945158,6.511159483028809e-05
numeric__FLOORSMIN_AVG,FLOORSMIN_AVG,False,71.49132919311523,0.00011542924775501646,7,0.00019412729984309306,6.225954785436956e-05
numeric__missingindicator_BUREAU_DEBT_SUM,BUREAU_DEBT_SUM,True,16.982500076293945,2.74197896574414e-05,1,0.000192913384839305,6.18702270358625e-05
numeric__CC_LATEST_MONTH,CC_LATEST_MONTH,False,42.99199914932251,6.941448952341632e-05,4,0.00019244659423262896,6.17205202602683e-05
numeric__missingindicator_BASEMENTAREA_AVG,BASEMENTAREA_AVG,True,15.892399787902832,2.565972367899782e-05,1,0.000181901549108583,5.833856552202346e-05
