variant,features,roc_auc,average_precision,brier_score,log_loss,top_10_capture,top_10_lift,top_20_capture,best_iteration,train_seconds
v1_reference,259,0.7821941899465851,0.2775480633494772,0.0661585471807602,0.23844065046899915,0.36627282491944146,3.6624900487880074,0.5609559613319012,934,198.5
v1_no_external_score,251,0.7546939634233873,0.237264307377228,0.06811481374460887,0.24735113424958388,0.3386143931256713,3.385923718124397,0.5220193340494093,723,171.5
v3_core,73,0.724776043474013,0.20989109869719869,0.06954916748804449,0.254976727132536,0.2994092373791622,2.993897657183745,0.4712674543501611,306,42.2
v3_extended,114,0.7413263843252482,0.225072285150399,0.06879005778679735,0.2510213778416949,0.3160580021482277,3.1603744775831992,0.5,428,65.0
